Rfam id	Name	Description	Category
RF00114	S15	Ribosomal S15 leader	leader
RF00230	T-box	T-box leader	leader
RF00506	Thr_leader	Threonine operon leader	leader
RF00512	Leu_leader	Leucine operon leader	leader
RF00513	Trp_leader	Tryptophan operon leader	leader
RF00514	His_leader	Histidine operon leader	leader
RF00516	ylbH	ylbH leader	leader
RF00517	serC	serC leader	leader
RF00518	speF	speF leader	leader
RF00520	ybhL	ybhL leader	leader
RF00555	L13_leader	Ribosomal protein L13 leader	leader
RF00556	L19_leader	Ribosomal protein L19 leader	leader
RF00557	L10_leader	Ribosomal protein L10 leader	leader
RF00558	L20_leader	Ribosomal protein L20 leader	leader
RF00559	L21_leader	Ribosomal protein L21 leader	leader
RF01692	Bacteroid-trp	Bacteroidete tryptophan peptide leader RNA	leader
RF01743	leu-phe_leader	leu/phe leader RNA from Lactococcus	leader
RF01769	greA	Enterobacteria greA leader	leader
RF01770	rimP	Gammaprotebacteria rimP leader	leader
RF01771	rnk_leader	Enterobacteria rnk leader	leader
RF01772	rnk_pseudo	Pseudomonas rnk leader	leader
RF01773	rpsL_pseudo	Pseudomonas rpsL leader	leader
RF01774	rpsL_ricks	Rickettsia rpsL leader	leader
RF01859	Phe_leader	Phenylalanine leader peptide	leader
RF02370	Trp_leader_2	Bacillus tryptophan operon leader	leader
RF02371	PyrG_leader	PyrG leader	leader
RF02372	PyrC_leader	PyrC leader	leader
RF02373	PyrD_leader	PyrD leader	leader
RF02887	mgtC_leader	Salmonella mgtC leader RNA	leader
RF02893	RpsF_leader	RpsF leader	leader
RF02907	patAB	patAB leader	leader
RF03126	L20-Deltaproteobacteria	L20-Deltaproteobacteria ribosomal protein leader	leader
RF03127	L13-Bacteroidia	L13-Bacteroidia ribosomal protein leader	leader
RF03128	L31-Coriobacteria	L31-Coriobacteria ribosomal protein leader	leader
RF03129	L31-Corynebacteriaceae	L31-Corynebacteriaceae ribosomal protein leader	leader
RF03130	L19-Flavobacteria	L19-Flavobacteria ribosomal protein leader	leader
RF03131	L25-Gammaproteobacteria	L25-Gammaproteobacteria ribosomal protein leader	leader
RF03132	L17-Actino-Proteobacteria	L17-Actino-Proteobacteria ribosomal protein leader	leader
RF03133	S4-Fusobacteriales	S4-Fusobacteriales ribosomal protein leader	leader
RF03134	S6-S18-Chlorobi	S6-S18-Chlorobi ribosomal protein leader	leader
RF03135	L4-Archaeoglobi	L4-Archaeoglobi ribosomal protein leades	leader
RF03136	S10-Clostridia	S10-Clostridia ribosomal protein leader	leader
RF03137	S15-Methanomicrobia	S15-Methanomicrobia ribosomal protein leader	leader
RF03138	S16-Flavobacteria	S16-Flavobacteria ribosomal protein leader	leader
RF03139	S4-Bacteroidia	S4-Bacteroidia ribosomal protein leader	leader
RF03140	S4-Clostridia	S4-Clostridia ribosomal protein leader	leader
RF03141	S4-Flavobacteria	S4-Flavobacteria ribosomal protein leader	leader
