−ΔGMfold[av]	TempDenDG
SumBubLength	SomBuLong1
SumBubSurf1	SomSurfCGL1
DenLen1Tem	DenLen1Tem
DenBubSurf	DenSurf1Tem
BublongLength	LongPlusLongBulle
BublongSurf	SurfPlusLongBulle
Den_Reg1	Den_Reg1
Den_Reg2	Den_Reg2
Den_Reg3	Den_Reg3
Den_Reg4	Den_Reg4
Den_Reg5	Den_Reg5
Den_Reg6	Den_Reg6
%A	PcA
%T	PcT
%G	PcG
%C	PcC
%AA	PcAA
%AT	PcAT
%AG	PcAG
%AC	PcAC
%TA	PcTA
%TT	PcTT
%TG	PcTG
%TC	PcTC
%GA	PcGA
%GT	PcGT
%GG	PcGG
%GC	PcGC
%CA	PcCA
%CT	PcCT
%CG	PcCG
%CC	PcCC
(C-G)max%Bub%	diffCGMax%Bu
%CMaxBu	%CMaxBu
%GMinBu	%GMinBu
(C-G)av%Bub%	diffCGmoy%
%CavBub	%CMoyBu
%GavBub	%GMoyBu
%AavBub	%AMoyBu
%TavBub	%TMoyBu
Nb_Reg1Bu	Nb_Reg1Bu
Nb_Reg2Bu	Nb_Reg2Bu
Nb_Reg3Bu	Nb_Reg3Bu
Nb_Reg4Bu	Nb_Reg4Bu
Nb_Reg5Bu	Nb_Reg5Bu
Nb_Reg6Bu	Nb_Reg6Bu
%TTT	PcTTT
%TTC	PcTTC
%TTA	PcTTA
%TTG	PcTTG
%CTT	PcCTT
%CTC	PcCTC
%CTA	PcCTA
%CTG	PcCTG
%ATT	PcATT
%ATC	PcATC
%ATA	PcATA
%ATG	PcATG
%GTT	PcGTT
%GTC	PcGTC
%GTA	PcGTA
%GTG	PcGTG
%TAT	PcTAT
%TAC	PcTAC
%TAA	PcTAA
%TAG	PcTAG
%CAT	PcCAT
%CAC	PcCAC
%CAA	PcCAA
%CAG	PcCAG
%AAT	PcAAT
%AAC	PcAAC
%AAA	PcAAA
%AAG	PcAAG
%GAT	PcGAT
%GAC	PcGAC
%GAA	PcGAA
%GAG	PcGAG
%TCT	PcTCT
%TCC	PcTCC
%TCA	PcTCA
%TCG	PcTCG
%CCT	PcCCT
%CCC	PcCCC
%CCA	PcCCA
%CCG	PcCCG
%ACT	PcACT
%ACC	PcACC
%ACA	PcACA
%ACG	PcACG
%GCT	PcGCT
%GCC	PcGCC
%GCA	PcGCA
%GCG	PcGCG
%TGT	PcTGT
%TGC	PcTGC
%TGA	PcTGA
%TGG	PcTGG
%CGT	PcCGT
%CGC	PcCGC
%CGA	PcCGA
%CGG	PcCGG
%AGT	PcAGT
%AGC	PcAGC
%AGA	PcAGA
%AGG	PcAGG
%GGT	PcGGT
%GGC	PcGGC
%GGA	PcGGA
%GGG	PcGGG
