names-seq	TempDenDG	SomBuLong1	SomSurfCGL1	DenLen1Tem	DenSurf1Tem	LongPlusLongBulle	SurfPlusLongBulle	Den_Reg1	Den_Reg2	Den_Reg3	Den_Reg4	Den_Reg5	Den_Reg6	PcA	PcT	PcG	PcC	PcAA	PcAT	PcAG	PcAC	PcTA	PcTT	PcTG	PcTC	PcGA	PcGT	PcGG	PcGC	PcCA	PcCT	PcCG	PcCC	diffCGMax%Bu	%CMaxBu	%GMinBu	diffCGmoy%	%CMoyBu	%GMoyBu	%AMoyBu	%TMoyBu	Nb_Reg1Bu	Nb_Reg2Bu	Nb_Reg3Bu	Nb_Reg4Bu	Nb_Reg5Bu	Nb_Reg6Bu	PcTTT	PcTTC	PcTTA	PcTTG	PcCTT	PcCTC	PcCTA	PcCTG	PcATT	PcATC	PcATA	PcATG	PcGTT	PcGTC	PcGTA	PcGTG	PcTAT	PcTAC	PcTAA	PcTAG	PcCAT	PcCAC	PcCAA	PcCAG	PcAAT	PcAAC	PcAAA	PcAAG	PcGAT	PcGAC	PcGAA	PcGAG	PcTCT	PcTCC	PcTCA	PcTCG	PcCCT	PcCCC	PcCCA	PcCCG	PcACT	PcACC	PcACA	PcACG	PcGCT	PcGCC	PcGCA	PcGCG	PcTGT	PcTGC	PcTGA	PcTGG	PcCGT	PcCGC	PcCGA	PcCGG	PcAGT	PcAGC	PcAGA	PcAGG	PcGGT	PcGGC	PcGGA	PcGGG
T087	-386.04972375690613	0	0.0	0.0	0.0	0	0.0	78.73	26.24	4.14	1.38	0.0	0.0	22.79	21.82	33.29	22.1	5.26	6.5	4.56	4.29	4.43	3.6	9.96	3.46	6.22	7.33	8.02	9.96	4.7	4.01	8.99	3.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.41	0.97	0.55	2.07	0.69	0.14	0.69	2.49	1.1	1.24	1.1	2.9	1.8	1.1	1.93	2.35	1.24	0.97	1.52	0.41	1.1	0.41	0.97	2.07	1.8	1.8	1.8	1.1	1.93	0.97	2.21	0.97	0.41	0.55	1.52	0.97	0.83	0.69	0.69	2.21	0.28	1.24	0.83	1.8	2.49	1.93	1.52	3.87	1.66	2.07	2.49	3.73	3.04	1.93	2.07	1.8	0.83	1.1	0.55	2.07	1.8	4.7	1.1	1.8
T065	-390.5479452054794	0	0.0	0.0	0.0	0	0.0	87.67	27.4	9.59	2.74	1.37	0.0	24.25	22.05	31.23	22.47	5.76	6.86	5.49	4.12	4.25	4.25	7.68	5.08	8.5	5.62	5.9	9.6	3.7	4.53	10.56	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.68	1.37	0.96	1.78	0.82	0.68	0.27	2.74	2.19	1.23	1.78	1.37	1.1	1.78	0.96	1.78	1.37	1.1	1.1	0.41	1.23	0.41	1.1	0.96	1.37	1.37	1.92	2.05	2.47	1.23	2.6	2.05	1.1	0.68	1.23	2.05	0.96	0.0	1.1	1.64	0.27	1.51	0.14	2.19	2.19	1.51	1.23	4.11	0.68	2.05	3.42	1.51	2.19	2.33	2.19	3.7	0.68	2.6	1.37	0.68	2.05	2.47	1.37	1.64
T001	-358.63787375415285	0	0.0	0.0	0.0	0	0.0	81.4	29.9	14.95	6.64	1.66	0.0	25.75	23.26	30.23	20.76	6.99	5.16	7.32	3.83	4.33	4.49	7.99	4.66	7.82	6.32	5.82	8.82	4.16	5.49	7.65	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.66	1.5	1.66	1.33	1.0	1.0	0.83	2.66	1.33	1.0	0.66	2.16	1.99	1.16	1.16	1.66	1.16	1.0	1.16	1.0	0.66	0.33	1.5	1.66	1.33	1.33	2.16	3.49	1.99	1.16	3.49	1.16	1.33	0.83	0.83	1.5	0.83	0.33	0.17	2.16	1.16	0.83	0.66	1.16	1.99	1.5	2.49	2.82	1.0	1.66	2.99	2.33	1.0	2.33	1.5	2.33	1.99	2.66	1.66	1.0	2.33	1.66	1.66	1.5
T061	-409.2964824120603	0	0.0	0.0	0.0	0	0.0	79.15	21.36	7.54	3.77	0.0	0.0	18.47	22.74	34.92	23.87	2.89	5.91	3.9	4.65	3.27	4.53	9.43	3.65	7.42	6.04	7.92	11.32	3.77	4.28	11.57	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.76	1.38	1.26	1.51	0.75	0.25	0.38	2.89	1.63	0.75	0.25	3.27	1.63	1.26	1.38	1.51	1.51	0.88	0.63	0.25	1.01	0.38	0.63	1.76	0.5	0.88	1.01	0.88	2.89	2.51	1.01	1.01	0.5	0.38	1.13	1.63	0.75	0.25	0.5	2.76	0.38	1.76	0.5	2.01	2.64	1.88	1.63	4.77	1.26	2.64	2.14	3.27	2.01	3.64	2.64	3.14	0.88	1.38	0.88	0.63	1.76	3.52	1.63	2.14
T025	-358.22603719599425	0	0.0	0.0	0.0	0	0.0	78.68	34.33	18.6	10.01	5.72	1.43	26.75	17.02	33.33	22.89	5.87	5.16	5.87	8.74	3.72	2.15	7.88	3.01	7.59	6.73	9.74	6.3	8.45	2.72	6.88	4.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.29	0.57	0.72	0.86	0.43	0.14	0.0	2.15	0.57	0.72	1.72	2.15	1.14	1.57	1.29	2.58	0.57	2.15	0.86	0.14	0.86	2.0	2.0	3.58	1.72	2.72	0.86	0.86	2.0	1.86	2.43	1.0	0.57	0.0	1.86	0.57	0.14	0.29	2.15	2.15	1.0	2.86	2.43	2.43	1.0	1.57	2.0	1.72	2.0	1.0	2.0	2.86	0.86	0.86	0.86	4.29	1.57	0.86	1.57	1.72	2.29	3.43	3.0	2.29
T088	-395.37712895377126	0	0.0	0.0	0.0	0	0.0	110.71	45.01	14.6	7.3	3.65	2.43	21.65	20.32	33.21	24.82	5.72	3.9	5.6	4.87	3.17	2.8	7.92	6.21	7.8	8.4	7.06	8.77	3.41	4.99	11.57	4.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.24	1.95	0.36	0.49	0.49	0.73	0.73	3.04	0.36	1.95	0.73	0.85	1.95	1.58	1.34	3.28	0.97	0.97	1.09	0.12	0.73	0.73	0.36	1.58	0.73	1.7	1.58	3.16	1.46	1.46	4.14	0.61	1.34	1.7	0.73	2.43	0.73	0.36	0.73	2.92	1.09	0.85	0.73	2.19	1.7	1.82	1.22	3.77	1.09	2.55	1.58	2.43	3.16	1.82	3.65	2.92	1.34	1.7	1.09	1.46	2.68	2.68	1.46	1.09
T055	-452.948717948718	0	0.0	0.0	0.0	0	0.0	71.79	28.21	12.82	7.69	1.28	0.0	14.23	25.51	37.31	22.95	3.21	3.98	3.72	2.44	1.93	5.91	10.91	4.11	5.39	7.45	9.24	13.35	2.82	5.65	11.42	2.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	2.31	1.54	0.77	3.21	0.77	0.0	0.51	4.23	1.28	0.77	0.38	1.54	3.46	1.79	0.26	1.92	0.77	0.77	0.13	0.26	0.77	0.38	0.9	0.77	1.03	0.38	0.9	1.41	1.41	0.9	1.79	1.28	1.03	0.38	0.77	1.92	0.38	0.26	0.51	1.92	0.13	0.77	0.13	1.41	4.1	1.67	1.41	5.38	2.05	2.44	1.28	5.13	2.05	4.23	1.67	2.82	0.64	1.28	0.9	0.9	2.69	4.62	1.54	1.92
T089	-417.71653543307093	0	0.0	0.0	0.0	0	0.0	76.12	19.69	3.94	0.0	0.0	0.0	21.65	18.64	35.17	24.54	5.12	6.04	4.47	4.34	3.55	2.89	7.75	4.34	6.7	5.78	8.54	12.48	4.6	3.81	12.88	2.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.13	0.92	0.79	1.18	0.26	0.52	0.39	2.62	1.05	2.23	0.79	1.97	1.57	0.66	1.57	1.97	1.18	0.92	0.92	0.39	1.84	0.66	0.92	1.18	1.18	1.18	1.44	1.97	1.71	1.57	2.49	0.92	0.79	0.52	1.18	1.84	0.13	0.39	0.92	1.84	0.39	1.31	0.39	2.23	2.49	1.05	1.97	5.77	1.05	1.97	1.71	3.02	2.1	3.54	2.62	3.81	0.66	1.84	0.66	1.31	1.97	4.46	1.71	1.57
T056	-391.09826589595383	0	0.0	0.0	0.0	0	0.0	97.11	38.15	12.72	4.62	2.31	1.16	17.46	27.28	33.18	22.08	3.12	6.6	3.82	3.01	4.51	7.18	7.64	5.56	5.44	6.94	9.38	9.38	3.47	4.17	10.3	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.97	2.2	2.54	1.62	1.16	0.23	0.23	2.54	2.66	1.39	0.23	2.31	2.54	1.73	1.5	1.04	2.2	0.81	1.04	0.35	1.39	0.46	0.35	1.16	0.58	0.81	0.81	1.5	2.31	0.81	1.5	0.81	1.5	0.69	0.81	2.54	0.23	0.46	0.69	2.54	0.58	0.92	0.35	1.16	1.85	1.85	1.62	3.7	1.04	1.16	1.39	3.93	1.97	3.01	1.5	3.7	0.81	1.16	0.58	1.27	3.01	3.93	1.97	1.85
T005	-314.1104294478528	133	769.2307692307692	271.9836400817996	1573.0690577316345	65	684.6153846153848	118.61	55.21	26.58	16.36	12.27	6.13	24.95	27.2	24.54	23.31	6.76	7.17	4.3	4.92	4.3	5.33	9.43	6.35	6.35	5.94	4.71	6.56	5.74	6.97	5.12	4.51	17.94871794871795	0.3461538461538461	0.14102564102564102	10.532544378698224	0.2840236686390533	0.17869822485207104	0.23767258382643	0.2996055226824457	21	13	10	8	6	3	1.64	1.43	1.84	1.64	1.64	1.64	0.0	3.48	1.43	1.84	1.23	2.66	1.64	1.23	1.23	1.43	1.64	0.61	1.64	0.41	1.43	1.23	1.43	1.64	2.04	1.84	1.84	2.04	2.04	1.23	2.86	0.2	2.04	0.82	1.84	1.43	1.23	1.02	1.84	1.43	1.84	1.84	0.41	0.82	1.64	1.84	1.64	1.43	2.04	2.66	2.66	2.04	1.43	1.02	1.43	1.23	0.41	1.23	1.43	1.23	2.04	1.64	0.82	0.82
