num-seq	names-seq	longseq	longwin	nbrBubble	TempDenDG	SomBuLong1	SomSurfCGL1	DenLen1Tem	DenSurf1Tem	LongPlusLongBulle	SurfPlusLongBulle	Den_Reg1	Den_Reg2	Den_Reg3	Den_Reg4	Den_Reg5	Den_Reg6	PcA	PcT	PcG	PcC	PcAA	PcAT	PcAG	PcAC	PcTA	PcTT	PcTG	PcTC	PcGA	PcGT	PcGG	PcGC	PcCA	PcCT	PcCG	PcCC	diffCGMax%Bu	%CMaxBu	%GMinBu	diffCGmoy%	%CMoyBu	%GMoyBu	%AMoyBu	%TMoyBu	Nb_Reg1Bu	Nb_Reg2Bu	Nb_Reg3Bu	Nb_Reg4Bu	Nb_Reg5Bu	Nb_Reg6Bu	PcTTT	PcTTC	PcTTA	PcTTG	PcCTT	PcCTC	PcCTA	PcCTG	PcATT	PcATC	PcATA	PcATG	PcGTT	PcGTC	PcGTA	PcGTG	PcTAT	PcTAC	PcTAA	PcTAG	PcCAT	PcCAC	PcCAA	PcCAG	PcAAT	PcAAC	PcAAA	PcAAG	PcGAT	PcGAC	PcGAA	PcGAG	PcTCT	PcTCC	PcTCA	PcTCG	PcCCT	PcCCC	PcCCA	PcCCG	PcACT	PcACC	PcACA	PcACG	PcGCT	PcGCC	PcGCA	PcGCG	PcTGT	PcTGC	PcTGA	PcTGG	PcCGT	PcCGC	PcCGA	PcCGG	PcAGT	PcAGC	PcAGA	PcAGG	PcGGT	PcGGC	PcGGA	PcGGG	
1	T057	499	422	9	Empty	223	1238.4615384615388	446.8937875751503	2481.886850624326	98	793.589743589744	126.25	54.11	18.04	4.01	2.0	0.0	24.65	21.44	25.85	28.06	5.82	5.02	5.82	6.02	3.82	4.02	8.63	4.42	7.63	4.62	3.41	9.24	5.62	7.23	7.03	6.43	15.384615384615383	0.3717948717948718	0.20512820512820512	8.097854526425955	0.32770800627943486	0.24672946101517532	0.21664050235478804	0.20892203035060178	27	14	8	2	1	0	0.6	1.2	1.4	1.2	0.8	1.0	1.0	4.41	1.6	1.0	0.6	1.8	1.4	1.2	0.8	1.2	0.6	1.4	0.8	1.0	1.4	1.4	1.8	0.8	1.0	1.8	1.6	2.4	2.0	1.2	2.61	1.4	0.8	1.4	0.8	1.4	1.8	1.8	2.0	2.0	1.4	2.4	1.4	0.8	3.21	2.0	1.4	2.61	2.0	2.81	2.2	1.6	1.6	2.81	2.0	0.6	0.0	2.2	2.4	1.0	1.0	1.4	0.8	1.0
2	T049	499	422	5	Empty	384	4398.717948717934	769.5390781563126	8815.066029494858	285	4046.153846153831	126.25	48.1	14.03	6.01	2.0	0.0	31.06	25.25	17.23	26.45	8.23	7.23	3.82	8.23	5.62	6.22	6.43	5.42	4.82	3.41	2.81	5.62	8.63	6.83	3.82	6.02	24.358974358974358	0.34615384615384615	0.0641025641025641	14.197031039136302	0.2742690058479532	0.1322986954565902	0.32663067926225825	0.2668016194331984	45	16	5	3	1	0	1.4	1.8	2.2	1.6	2.2	0.8	1.0	2.81	2.4	2.2	1.2	1.4	1.0	0.6	1.2	0.6	1.4	2.2	1.8	0.2	2.2	1.2	3.61	1.4	2.4	3.61	3.01	1.0	1.2	1.0	1.6	1.0	1.8	1.2	1.8	0.6	3.01	1.0	1.8	0.8	1.4	2.4	2.81	1.4	0.6	2.0	2.0	1.0	1.0	2.61	1.8	0.8	0.8	1.0	1.0	0.8	0.8	0.8	1.2	1.0	0.6	1.2	0.8	0.4
3	T087	724	647	0	Empty	0	0	0.0	0.0	0	0	78.73	26.24	4.14	1.38	0.0	0.0	22.79	21.82	33.29	22.1	5.26	6.5	4.56	4.29	4.43	3.6	9.96	3.46	6.22	7.33	8.02	9.96	4.7	4.01	8.99	3.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0.97	0.55	2.07	0.69	0.14	0.69	2.49	1.1	1.24	1.1	2.9	1.8	1.1	1.93	2.35	1.24	0.97	1.52	0.41	1.1	0.41	0.97	2.07	1.8	1.8	1.8	1.1	1.93	0.97	2.21	0.97	0.41	0.55	1.52	0.97	0.83	0.69	0.69	2.21	0.28	1.24	0.83	1.8	2.49	1.93	1.52	3.87	1.66	2.07	2.49	3.73	3.04	1.93	2.07	1.8	0.83	1.1	0.55	2.07	1.8	4.7	1.1	1.8
4	T004	688	611	3	Empty	313	2421.7948717948684	454.94186046511624	3520.050685748355	181	1158.9743589743573	103.2	39.24	15.99	4.36	0.0	0.0	29.51	24.27	22.67	23.55	6.99	6.4	5.24	7.57	5.82	5.68	6.26	5.09	6.55	4.95	4.66	5.53	6.84	5.82	5.53	4.22	12.82051282051282	0.32051282051282054	0.10256410256410256	6.403173254001985	0.25024791046890493	0.1862161779288851	0.32540019832837513	0.23813571327383484	29	13	6	3	0	0	1.31	1.45	2.03	1.74	2.18	0.58	0.73	2.33	1.6	2.03	1.31	1.45	1.45	1.02	1.74	0.73	1.31	1.89	1.74	0.87	1.89	2.03	1.45	1.45	1.31	2.18	2.76	2.33	1.89	1.45	2.62	0.58	1.31	0.29	2.03	1.45	1.31	1.02	1.16	1.6	2.03	2.76	1.45	1.31	1.16	1.16	2.03	1.16	1.45	1.31	2.03	1.45	1.16	1.02	2.33	1.02	0.73	1.02	1.45	2.03	1.6	2.18	0.73	0.87
5	T038	499	422	9	Empty	153	589.7435897435896	306.6132264529058	1181.8508812496787	62	405.12820512820514	96.19	38.08	16.03	8.02	4.01	0.0	23.85	23.25	26.85	26.05	4.82	5.42	4.02	7.83	4.42	4.82	8.03	4.22	7.83	4.22	5.62	8.43	5.22	7.03	8.43	4.42	15.384615384615383	0.32051282051282054	0.16666666666666666	6.5343258891645934	0.28267162944582297	0.21732837055417703	0.21898263027295287	0.2810173697270471	16	4	1	0	0	0	1.4	1.0	1.2	2.2	1.2	1.0	1.8	3.01	1.4	1.2	1.0	1.8	1.8	1.0	0.4	1.0	1.4	2.0	0.8	0.0	0.8	1.6	0.8	1.8	1.4	1.4	1.6	1.4	1.8	2.61	2.61	0.8	1.0	1.8	0.4	0.8	0.6	1.0	1.0	2.81	2.4	1.0	2.0	2.4	2.61	1.6	1.8	1.6	1.2	3.21	1.4	2.0	0.6	2.81	2.0	3.01	0.8	0.8	2.0	0.4	1.4	1.6	2.4	0.8
6	T047	449	372	4	Empty	289	2205.128205128204	643.652561247216	4911.198675118495	143	1056.4102564102568	142.54	69.04	42.32	26.73	8.91	4.45	20.94	25.39	25.84	27.84	4.24	6.47	4.24	5.13	4.02	5.36	8.04	7.37	5.8	6.25	4.69	8.26	6.03	6.7	8.26	6.03	15.384615384615383	0.3717948717948718	0.20512820512820512	7.3874843105612324	0.3226645149722073	0.24878967186659495	0.1938318092164246	0.23471400394477315	30	15	8	4	0	0	0.67	1.78	1.56	1.56	2.0	1.11	0.45	2.9	1.34	2.23	1.34	1.56	1.56	2.0	0.67	2.0	1.11	1.11	1.11	0.67	1.78	1.34	1.11	1.78	1.34	1.11	0.89	1.34	2.23	1.56	1.56	0.45	2.0	1.56	1.56	2.0	1.34	0.89	1.56	2.9	0.89	2.45	0.89	0.89	2.23	1.56	2.0	2.45	1.34	3.12	2.23	1.34	2.45	1.78	1.11	2.23	1.11	1.56	0.45	1.11	1.34	1.34	2.0	0.67
7	T068	498	421	3	Empty	95	330.76923076923083	190.76305220883535	664.1952425084957	42	91.02564102564108	86.35	32.13	18.07	8.03	6.02	0.0	28.11	28.11	24.5	19.28	7.65	8.05	5.63	3.02	7.24	8.05	6.64	3.82	4.43	6.24	5.84	7.44	5.03	3.42	6.04	3.42	5.128205128205128	0.2692307692307692	0.1794871794871795	2.1672771672771707	0.2374847374847375	0.2158119658119658	0.24969474969474967	0.297008547008547	14	4	2	0	0	0	2.01	1.2	3.82	1.81	0.8	0.4	0.4	1.81	3.82	1.2	1.0	2.01	2.21	1.0	2.01	1.0	3.01	1.0	2.01	1.0	1.41	0.6	1.81	1.2	2.41	1.0	3.21	2.61	1.0	0.4	2.21	0.8	0.6	0.8	1.61	0.8	0.8	1.41	0.2	2.21	0.4	0.8	1.0	0.6	1.61	1.41	2.01	2.21	1.2	2.01	2.01	1.41	1.41	1.61	0.4	2.41	1.2	1.2	1.2	2.01	2.41	2.41	0.8	0.4
8	T065	730	653	0	Empty	0	0	0.0	0.0	0	0	87.67	27.4	9.59	2.74	1.37	0.0	24.25	22.05	31.23	22.47	5.76	6.86	5.49	4.12	4.25	4.25	7.68	5.08	8.5	5.62	5.9	9.6	3.7	4.53	10.56	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68	1.37	0.96	1.78	0.82	0.68	0.27	2.74	2.19	1.23	1.78	1.37	1.1	1.78	0.96	1.78	1.37	1.1	1.1	0.41	1.23	0.41	1.1	0.96	1.37	1.37	1.92	2.05	2.47	1.23	2.6	2.05	1.1	0.68	1.23	2.05	0.96	0.0	1.1	1.64	0.27	1.51	0.14	2.19	2.19	1.51	1.23	4.11	0.68	2.05	3.42	1.51	2.19	2.33	2.19	3.7	0.68	2.6	1.37	0.68	2.05	2.47	1.37	1.64
9	T043	442	365	9	Empty	259	1343.5897435897436	585.972850678733	3039.795799976796	91	967.9487179487182	140.27	67.87	36.2	22.62	18.1	11.31	24.43	24.43	23.98	27.15	5.67	5.44	5.44	7.26	3.4	4.76	7.26	6.58	8.39	4.76	4.54	5.9	6.12	7.03	6.58	5.22	17.94871794871795	0.3333333333333333	0.15384615384615385	10.63679909833756	0.299098337559876	0.19273034657650043	0.20836855452240066	0.29980276134122286	28	19	12	10	8	5	2.04	1.13	0.68	2.26	1.58	0.9	0.9	3.62	1.58	2.04	0.9	0.9	0.9	2.49	0.9	0.23	0.9	0.45	1.36	0.68	1.58	1.36	1.58	1.36	1.36	2.26	0.68	1.81	1.58	2.71	2.49	1.58	1.36	1.58	2.26	1.36	1.81	2.26	1.13	2.04	2.26	2.04	1.13	1.58	1.58	1.36	1.36	1.36	1.81	1.13	1.81	2.26	0.68	1.13	2.94	1.36	1.36	1.81	1.36	0.9	0.68	1.58	2.26	0.23
10	T094	376	299	4	Empty	198	1120.5128205128206	526.595744680851	2980.087288597927	117	848.7179487179488	109.04	45.21	31.91	18.62	2.66	0.0	29.79	26.06	21.01	23.14	8.0	5.33	6.13	6.67	8.0	6.4	4.0	5.87	4.27	6.4	4.53	5.6	5.87	6.13	6.13	4.27	14.102564102564102	0.2948717948717949	0.1282051282051282	7.25399956169187	0.23843962305500768	0.16589962743808898	0.32763532763532766	0.26802542187157574	19	8	6	4	0	0	1.86	2.66	2.93	0.27	2.13	1.06	1.06	1.86	1.6	1.33	1.06	1.33	2.13	0.8	2.93	0.53	1.6	1.6	3.99	0.8	1.33	1.33	1.33	1.6	1.33	1.6	3.46	3.46	1.06	1.6	1.33	0.27	1.06	1.86	1.33	1.33	1.6	0.8	1.33	1.06	1.33	1.06	1.33	2.93	1.86	1.06	1.86	0.8	1.06	0.27	1.33	1.33	1.6	1.86	1.06	1.6	1.6	1.33	1.6	1.6	2.13	2.13	0.27	0.27
