names-seq	TempDenDG	SomBuLong1	SomSurfCGL1	DenLen1Tem	DenSurf1Tem	LongPlusLongBulle	SurfPlusLongBulle	Den_Reg1	Den_Reg2	Den_Reg3	Den_Reg4	Den_Reg5	Den_Reg6	PcA	PcT	PcG	PcC	PcAA	PcAT	PcAG	PcAC	PcTA	PcTT	PcTG	PcTC	PcGA	PcGT	PcGG	PcGC	PcCA	PcCT	PcCG	PcCC	diffCGMax%Bu	%CMaxBu	%GMinBu	diffCGmoy%	%CMoyBu	%GMoyBu	%AMoyBu	%TMoyBu	Nb_Reg1Bu	Nb_Reg2Bu	Nb_Reg3Bu	Nb_Reg4Bu	Nb_Reg5Bu	Nb_Reg6Bu	PcTTT	PcTTC	PcTTA	PcTTG	PcCTT	PcCTC	PcCTA	PcCTG	PcATT	PcATC	PcATA	PcATG	PcGTT	PcGTC	PcGTA	PcGTG	PcTAT	PcTAC	PcTAA	PcTAG	PcCAT	PcCAC	PcCAA	PcCAG	PcAAT	PcAAC	PcAAA	PcAAG	PcGAT	PcGAC	PcGAA	PcGAG	PcTCT	PcTCC	PcTCA	PcTCG	PcCCT	PcCCC	PcCCA	PcCCG	PcACT	PcACC	PcACA	PcACG	PcGCT	PcGCC	PcGCA	PcGCG	PcTGT	PcTGC	PcTGA	PcTGG	PcCGT	PcCGC	PcCGA	PcCGG	PcAGT	PcAGC	PcAGA	PcAGG	PcGGT	PcGGC	PcGGA	PcGGG
T057	-300.2004008016032	223	1238.4615384615388	446.8937875751503	2481.8868506243257	98	793.589743589744	126.25	54.11	18.04	4.01	2.0	0.0	24.65	21.44	25.85	28.06	5.82	5.02	5.82	6.02	3.82	4.02	8.63	4.42	7.63	4.62	3.41	9.24	5.62	7.23	7.03	6.43	15.384615384615385	0.3717948717948718	0.20512820512820512	8.097854526425955	0.3277080062794349	0.2467294610151753	0.21664050235478804	0.20892203035060172	27	14	8	2	1	0	0.6	1.2	1.4	1.2	0.8	1.0	1.0	4.41	1.6	1.0	0.6	1.8	1.4	1.2	0.8	1.2	0.6	1.4	0.8	1.0	1.4	1.4	1.8	0.8	1.0	1.8	1.6	2.4	2.0	1.2	2.61	1.4	0.8	1.4	0.8	1.4	1.8	1.8	2.0	2.0	1.4	2.4	1.4	0.8	3.21	2.0	1.4	2.61	2.0	2.81	2.2	1.6	1.6	2.81	2.0	0.6	0.0	2.2	2.4	1.0	1.0	1.4	0.8	1.0
T049	-240.4809619238477	384	4398.717948717934	769.5390781563126	8815.066029494858	285	4046.153846153831	126.25	48.1	14.03	6.01	2.0	0.0	31.06	25.25	17.23	26.45	8.23	7.23	3.82	8.23	5.62	6.22	6.43	5.42	4.82	3.41	2.81	5.62	8.63	6.83	3.82	6.02	24.35897435897436	0.3461538461538461	0.0641025641025641	14.197031039136302	0.2742690058479532	0.1322986954565902	0.32663067926225825	0.2668016194331984	45	16	5	3	1	0	1.4	1.8	2.2	1.6	2.2	0.8	1.0	2.81	2.4	2.2	1.2	1.4	1.0	0.6	1.2	0.6	1.4	2.2	1.8	0.2	2.2	1.2	3.61	1.4	2.4	3.61	3.01	1.0	1.2	1.0	1.6	1.0	1.8	1.2	1.8	0.6	3.01	1.0	1.8	0.8	1.4	2.4	2.81	1.4	0.6	2.0	2.0	1.0	1.0	2.61	1.8	0.8	0.8	1.0	1.0	0.8	0.8	0.8	1.2	1.0	0.6	1.2	0.8	0.4
T004	-280.0872093023256	313	2421.7948717948684	454.9418604651162	3520.050685748355	181	1158.9743589743573	103.2	39.24	15.99	4.36	0.0	0.0	29.51	24.27	22.67	23.55	6.99	6.4	5.24	7.57	5.82	5.68	6.26	5.09	6.55	4.95	4.66	5.53	6.84	5.82	5.53	4.22	12.82051282051282	0.3205128205128205	0.10256410256410256	6.4031732540019854	0.2502479104689049	0.1862161779288851	0.32540019832837513	0.23813571327383484	29	13	6	3	0	0	1.31	1.45	2.03	1.74	2.18	0.58	0.73	2.33	1.6	2.03	1.31	1.45	1.45	1.02	1.74	0.73	1.31	1.89	1.74	0.87	1.89	2.03	1.45	1.45	1.31	2.18	2.76	2.33	1.89	1.45	2.62	0.58	1.31	0.29	2.03	1.45	1.31	1.02	1.16	1.6	2.03	2.76	1.45	1.31	1.16	1.16	2.03	1.16	1.45	1.31	2.03	1.45	1.16	1.02	2.33	1.02	0.73	1.02	1.45	2.03	1.6	2.18	0.73	0.87
T038	-314.82965931863725	153	589.7435897435896	306.6132264529058	1181.8508812496789	62	405.1282051282051	96.19	38.08	16.03	8.02	4.01	0.0	23.85	23.25	26.85	26.05	4.82	5.42	4.02	7.83	4.42	4.82	8.03	4.22	7.83	4.22	5.62	8.43	5.22	7.03	8.43	4.42	15.384615384615385	0.3205128205128205	0.16666666666666666	6.5343258891645934	0.28267162944582297	0.21732837055417706	0.21898263027295287	0.2810173697270471	16	4	1	0	0	0	1.4	1.0	1.2	2.2	1.2	1.0	1.8	3.01	1.4	1.2	1.0	1.8	1.8	1.0	0.4	1.0	1.4	2.0	0.8	0.0	0.8	1.6	0.8	1.8	1.4	1.4	1.6	1.4	1.8	2.61	2.61	0.8	1.0	1.8	0.4	0.8	0.6	1.0	1.0	2.81	2.4	1.0	2.0	2.4	2.61	1.6	1.8	1.6	1.2	3.21	1.4	2.0	0.6	2.81	2.0	3.01	0.8	0.8	2.0	0.4	1.4	1.6	2.4	0.8
T047	-314.69933184855233	289	2205.128205128204	643.652561247216	4911.198675118495	143	1056.4102564102568	142.54	69.04	42.32	26.73	8.91	4.45	20.94	25.39	25.84	27.84	4.24	6.47	4.24	5.13	4.02	5.36	8.04	7.37	5.8	6.25	4.69	8.26	6.03	6.7	8.26	6.03	15.384615384615385	0.3717948717948718	0.20512820512820512	7.3874843105612324	0.3226645149722073	0.2487896718665949	0.1938318092164246	0.23471400394477315	30	15	8	4	0	0	0.67	1.78	1.56	1.56	2.0	1.11	0.45	2.9	1.34	2.23	1.34	1.56	1.56	2.0	0.67	2.0	1.11	1.11	1.11	0.67	1.78	1.34	1.11	1.78	1.34	1.11	0.89	1.34	2.23	1.56	1.56	0.45	2.0	1.56	1.56	2.0	1.34	0.89	1.56	2.9	0.89	2.45	0.89	0.89	2.23	1.56	2.0	2.45	1.34	3.12	2.23	1.34	2.45	1.78	1.11	2.23	1.11	1.56	0.45	1.11	1.34	1.34	2.0	0.67
T068	-269.0763052208835	95	330.76923076923083	190.7630522088353	664.1952425084958	42	91.02564102564108	86.35	32.13	18.07	8.03	6.02	0.0	28.11	28.11	24.5	19.28	7.65	8.05	5.63	3.02	7.24	8.05	6.64	3.82	4.43	6.24	5.84	7.44	5.03	3.42	6.04	3.42	5.128205128205128	0.2692307692307692	0.1794871794871795	2.1672771672771707	0.2374847374847375	0.2158119658119658	0.2496947496947497	0.297008547008547	14	4	2	0	0	0	2.01	1.2	3.82	1.81	0.8	0.4	0.4	1.81	3.82	1.2	1.0	2.01	2.21	1.0	2.01	1.0	3.01	1.0	2.01	1.0	1.41	0.6	1.81	1.2	2.41	1.0	3.21	2.61	1.0	0.4	2.21	0.8	0.6	0.8	1.61	0.8	0.8	1.41	0.2	2.21	0.4	0.8	1.0	0.6	1.61	1.41	2.01	2.21	1.2	2.01	2.01	1.41	1.41	1.61	0.4	2.41	1.2	1.2	1.2	2.01	2.41	2.41	0.8	0.4
T043	-298.868778280543	259	1343.5897435897434	585.972850678733	3039.7957999767964	91	967.9487179487182	140.27	67.87	36.2	22.62	18.1	11.31	24.43	24.43	23.98	27.15	5.67	5.44	5.44	7.26	3.4	4.76	7.26	6.58	8.39	4.76	4.54	5.9	6.12	7.03	6.58	5.22	17.94871794871795	0.3333333333333333	0.15384615384615385	10.63679909833756	0.299098337559876	0.19273034657650048	0.20836855452240066	0.2998027613412229	28	19	12	10	8	5	2.04	1.13	0.68	2.26	1.58	0.9	0.9	3.62	1.58	2.04	0.9	0.9	0.9	2.49	0.9	0.23	0.9	0.45	1.36	0.68	1.58	1.36	1.58	1.36	1.36	2.26	0.68	1.81	1.58	2.71	2.49	1.58	1.36	1.58	2.26	1.36	1.81	2.26	1.13	2.04	2.26	2.04	1.13	1.58	1.58	1.36	1.36	1.36	1.81	1.13	1.81	2.26	0.68	1.13	2.94	1.36	1.36	1.81	1.36	0.9	0.68	1.58	2.26	0.23
T094	-239.3617021276596	198	1120.5128205128206	526.595744680851	2980.0872885979275	117	848.7179487179487	109.04	45.21	31.91	18.62	2.66	0.0	29.79	26.06	21.01	23.14	8.0	5.33	6.13	6.67	8.0	6.4	4.0	5.87	4.27	6.4	4.53	5.6	5.87	6.13	6.13	4.27	14.102564102564099	0.2948717948717949	0.1282051282051282	7.253999561691871	0.2384396230550077	0.16589962743808898	0.3276353276353277	0.2680254218715757	19	8	6	4	0	0	1.86	2.66	2.93	0.27	2.13	1.06	1.06	1.86	1.6	1.33	1.06	1.33	2.13	0.8	2.93	0.53	1.6	1.6	3.99	0.8	1.33	1.33	1.33	1.6	1.33	1.6	3.46	3.46	1.06	1.6	1.33	0.27	1.06	1.86	1.33	1.33	1.6	0.8	1.33	1.06	1.33	1.06	1.33	2.93	1.86	1.06	1.86	0.8	1.06	0.27	1.33	1.33	1.6	1.86	1.06	1.6	1.6	1.33	1.6	1.6	2.13	2.13	0.27	0.27
T101	-346.7455621301775	76	297.43589743589735	149.9013806706114	586.6585748242552	59	279.48717948717945	114.4	63.12	33.53	17.75	5.92	1.97	21.3	26.43	28.21	24.06	3.56	7.11	4.15	5.14	5.73	5.14	6.72	6.32	5.93	6.13	6.92	7.51	4.74	5.53	8.7	4.55	10.256410256410255	0.3205128205128205	0.21794871794871795	4.73707083876575	0.2863972186006084	0.2390265102129509	0.2648848326814429	0.20969143850499786	12	7	5	4	3	1	2.17	1.18	1.18	1.58	1.18	0.79	0.79	2.56	1.58	2.37	1.18	1.58	1.18	1.78	2.17	0.99	2.17	1.58	0.79	0.99	1.18	0.59	0.79	2.17	0.99	1.38	1.18	0.59	2.56	1.58	1.38	0.39	1.18	0.99	1.38	2.76	1.18	0.59	0.39	2.76	0.2	1.58	1.97	1.18	2.96	1.78	0.79	1.78	0.39	1.38	1.38	3.35	1.78	2.37	1.78	2.17	1.18	0.79	0.99	1.18	2.56	2.56	1.58	1.38
T102	-366.2082514734774	125	715.3846153846154	245.57956777996068	1405.470757140698	70	482.0512820512819	115.91	49.12	25.54	9.82	1.96	0.0	17.49	29.47	29.47	23.58	3.54	6.1	2.76	3.35	3.94	6.89	10.04	6.3	5.12	8.46	6.5	8.46	3.15	5.71	9.25	4.92	12.82051282051282	0.3076923076923077	0.1794871794871795	6.886446886446887	0.2774725274725275	0.20860805860805864	0.2542124542124542	0.2597069597069597	19	9	6	3	1	0	2.36	2.16	1.18	3.14	1.18	0.79	1.18	2.55	2.36	1.77	0.2	1.77	2.95	1.57	1.38	2.55	0.98	1.38	0.98	0.59	1.18	0.39	0.59	0.98	1.57	0.59	1.57	0.79	2.36	0.98	1.38	0.39	1.18	1.57	1.18	2.36	1.18	0.39	0.59	2.95	0.98	1.18	0.2	0.98	2.36	2.16	1.18	2.55	1.57	1.96	2.36	4.13	2.16	3.14	1.38	1.96	0.98	0.79	0.59	0.39	3.73	1.96	0.79	0.98
