AE000783.1	NC_001318.1
AE001583.1	NC_000957.1
AE000791.1	NC_001904.1
AE000793.2	NC_001849.2
AE001582.2	NC_000955.2
AE000785.1	NC_001850.1
AE000792.1	NC_001903.1
AE000794.2	NC_001851.2
AE000786.1	NC_001852.1
AE000784.1	NC_001853.1
AE000789.1	NC_001854.1
AE001575.1	NC_000948.1
AE001576.1	NC_000949.1
AE001577.1	NC_000950.1
AE001578.1	NC_000951.1
AE001579.1	NC_000952.1
AE001580.1	NC_000953.1
AE001581.1	NC_000954.1
AE000788.1	NC_001855.1
AE000787.1	NC_001856.1
AE000790.2	NC_001857.2
AE001584.1	NC_000956.1
