Cluster id	Gene name	Pfam id
0000	DNA-directed RNA polymerase subunit beta'	PF00623.23-RNA_pol_Rpb1_2,PF04983.21-RNA_pol_Rpb1_3,PF04997.15-RNA_pol_Rpb1_1,PF01551.25-Peptidase_M23,PF04998.20-RNA_pol_Rpb1_5,PF05000.20-RNA_pol_Rpb1_4,PF13533.9-Biotin_lipoyl_2
0001	DNA-directed RNA polymerase subunit beta	PF00562.31-RNA_pol_Rpb2_6,PF04560.23-RNA_pol_Rpb2_7,PF04561.17-RNA_pol_Rpb2_2,PF04563.18-RNA_pol_Rpb2_1,PF04565.19-RNA_pol_Rpb2_3,PF10385.12-RNA_pol_Rpb2_45
0002	pyruvate carboxylase	PF00289.25-Biotin_carb_N,PF02222.25-ATP-grasp,PF02655.17-ATP-grasp_3,PF02785.22-Biotin_carb_C,PF02786.20-CPSase_L_D2,PF07478.16-Dala_Dala_lig_C,PF13535.9-ATP-grasp_4,PF08443.14-RimK,PF01071.22-GARS_A
0003	aminomethyl-transferring glycine dehydrogenase	PF01212.24-Beta_elim_lyase,PF02347.19-GDC-P,PF00266.22-Aminotran_5,PF00155.24-Aminotran_1_2,PF00282.22-Pyridoxal_deC,PF05889.16-SepSecS
0004	aconitate hydratase	PF00330.23-Aconitase,PF00694.22-Aconitase_C
0005	ATP-dependent Clp protease ATP-binding subunit	PF00004.32-AAA,PF00005.30-ABC_tran,PF00158.29-Sigma54_activat,PF00910.25-RNA_helicase,PF01078.24-Mg_chelatase,PF01637.21-ATPase_2,PF01695.20-IstB_IS21,PF02151.22-UVR,PF02367.20-TsaE,PF03193.19-RsgA_GTPase,PF03266.18-NTPase_1,PF04851.18-ResIII,PF05496.15-RuvB_N,PF05621.14-TniB,PF05729.15-NACHT,PF06414.15-Zeta_toxin,PF07724.17-AAA_2,PF07726.14-AAA_3,PF07728.17-AAA_5,PF08477.16-Roc,PF10431.12-ClpB_D2-small,PF12775.10-AAA_7,PF13177.9-DNA_pol3_delta2,PF13191.9-AAA_16,PF13238.9-AAA_18,PF13245.9-AAA_19,PF13401.9-AAA_22,PF13479.9-AAA_24,PF13521.9-AAA_28,PF13671.9-AAA_33,PF17871.4-AAA_lid_9,PF00437.23-T2SSE,PF02861.23-Clp_N,PF05272.14-VirE,PF13481.9-AAA_25,PF20030.2-bpMoxR,PF01656.26-CbiA,PF13476.9-AAA_23,PF13555.9-AAA_29,PF01949.19-DUF99,PF05673.16-DUF815,PF13604.9-AAA_30
0006	DNA gyrase subunit B	PF00204.28-DNA_gyraseB,PF00986.24-DNA_gyraseB_C,PF01751.25-Toprim,PF02518.29-HATPase_c,PF13589.9-HATPase_c_3
0007	formate C-acetyltransferase	PF01228.24-Gly_radical,PF02901.18-PFL-like
0008	polyribonucleotide nucleotidyltransferase	PF00013.32-KH_1,PF00575.26-S1,PF01138.24-RNase_PH,PF03725.18-RNase_PH_C,PF03726.17-PNPase,PF13509.9-S1_2,PF07650.20-KH_2
0009	elongation factor G	PF00009.30-GTP_EFTU,PF00679.27-EFG_C,PF03144.28-GTP_EFTU_D2,PF03764.21-EFG_IV,PF14492.9-EFG_III,PF01926.26-MMR_HSR1,PF16658.8-RF3_C
0010	cell division protein FtsH	PF00004.32-AAA,PF01078.24-Mg_chelatase,PF01434.21-Peptidase_M41,PF01695.20-IstB_IS21,PF05496.15-RuvB_N,PF06068.16-TIP49,PF06480.18-FtsH_ext,PF07728.17-AAA_5,PF13191.9-AAA_16,PF13207.9-AAA_17,PF13401.9-AAA_22,PF13671.9-AAA_33,PF17862.4-AAA_lid_3,PF13521.9-AAA_28,PF00158.29-Sigma54_activat,PF07724.17-AAA_2,PF13238.9-AAA_18,PF13479.9-AAA_24,PF02367.20-TsaE,PF12775.10-AAA_7
0011	transketolase	PF00456.24-Transketolase_N,PF02779.27-Transket_pyr,PF02780.23-Transketolase_C,PF00676.23-E1_dh,PF02775.24-TPP_enzyme_C,PF13292.9-DXP_synthase_N
0012	DEAD/DEAH box helicase	PF00270.32-DEAD,PF00271.34-Helicase_C,PF04851.18-ResIII,PF14617.9-CMS1,PF03880.18-DbpA,PF07652.17-Flavi_DEAD,PF13245.9-AAA_19
0013	molecular chaperone DnaK	PF00012.23-HSP70,PF06723.16-MreB_Mbl,PF14450.9-FtsA,PF02782.19-FGGY_C
0014	ribosome-dependent GTPase TypA	PF00009.30-GTP_EFTU,PF00679.27-EFG_C,PF00735.21-Septin,PF01926.26-MMR_HSR1,PF03144.28-GTP_EFTU_D2,PF14492.9-EFG_III,PF02421.21-FeoB_N
0015	PTS glucose transporter subunit IIBC	PF02378.21-PTS_EIIC,PF00367.23-PTS_EIIB
0016	translation elongation factor 4	PF00009.30-GTP_EFTU,PF00679.27-EFG_C,PF03144.28-GTP_EFTU_D2,PF06421.15-LepA_C,PF14492.9-EFG_III,PF16658.8-RF3_C,PF16897.8-MMR_HSR1_Xtn
0017	glutamine--fructose-6-phosphate transaminase (isomerizing)	PF01380.25-SIS,PF13230.9-GATase_4,PF13522.9-GATase_6,PF13537.9-GATase_7,PF13580.9-SIS_2
0018	aspartate kinase	PF00696.31-AA_kinase,PF01842.28-ACT,PF13740.9-ACT_6,PF13840.9-ACT_7
0019	pyruvate kinase	PF00224.24-PK,PF02887.19-PK_C,PF03328.17-HpcH_HpaI
0020	chaperonin GroEL	PF00118.27-Cpn60_TCP1
0021	3-phosphoglycerate dehydrogenase	PF00389.33-2-Hacid_dh,PF01842.28-ACT,PF02826.22-2-Hacid_dh_C,PF03446.18-NAD_binding_2,PF19304.2-PGDH_inter,PF03720.18-UDPG_MGDP_dh_C,PF07991.15-IlvN,PF05359.14-DUF748,PF00670.24-AdoHcyase_NAD,PF02737.21-3HCDH_N
0022	GMP synthetase	PF00117.31-GATase,PF00733.24-Asn_synthase,PF00958.25-GMP_synt_C,PF01171.23-ATP_bind_3,PF02540.20-NAD_synthase,PF02568.17-ThiI,PF03054.19-tRNA_Me_trans,PF06508.16-QueC,PF07722.16-Peptidase_C26,PF01507.22-PAPS_reduct,PF00764.22-Arginosuc_synth,PF07685.17-GATase_3
0023	F0F1 ATP synthase subunit alpha	PF00006.28-ATP-synt_ab,PF00306.30-ATP-synt_ab_C,PF02874.26-ATP-synt_ab_N,PF06745.16-ATPase
0024	ABC transporter ATP-binding protein	PF00005.30-ABC_tran,PF02463.22-SMC_N,PF08352.15-oligo_HPY,PF13191.9-AAA_16,PF13401.9-AAA_22,PF13555.9-AAA_29,PF13304.9-AAA_21,PF00485.21-PRK,PF13166.9-AAA_13,PF00006.28-ATP-synt_ab,PF00004.32-AAA,PF03193.19-RsgA_GTPase
0025	RNA polymerase sigma factor	PF00140.23-Sigma70_r1_2,PF04539.19-Sigma70_r3,PF04542.17-Sigma70_r2,PF04545.19-Sigma70_r4,PF01402.24-RHH_1,PF03979.17-Sigma70_r1_1,PF07382.14-HC2
0026	cell division protein FtsZ	PF00091.28-Tubulin,PF12327.11-FtsZ_C
0027	IMP dehydrogenase	PF00478.28-IMPDH,PF00571.31-CBS,PF01070.21-FMN_dh,PF01645.20-Glu_synthase,PF03060.18-NMO,PF00977.24-His_biosynth,PF05690.17-ThiG
0028	amino acid permease	PF00324.24-AA_permease,PF13520.9-AA_permease_2
0029	F0F1 ATP synthase subunit beta	PF00004.32-AAA,PF00006.28-ATP-synt_ab,PF02874.26-ATP-synt_ab_N,PF03193.19-RsgA_GTPase,PF18269.4-T3SS_ATPase_C,PF00931.25-NB-ARC,PF01637.21-ATPase_2,PF13245.9-AAA_19,PF05729.15-NACHT
0030	NADP-dependent phosphogluconate dehydrogenase	PF00393.22-6PGD,PF02826.22-2-Hacid_dh_C,PF03446.18-NAD_binding_2,PF01488.23-Shikimate_DH,PF02737.21-3HCDH_N,PF03807.20-F420_oxidored,PF01210.26-NAD_Gly3P_dh_N,PF02558.19-ApbA,PF07991.15-IlvN
0031	glutamate--ammonia ligase	PF00120.27-Gln-synt_C,PF03951.22-Gln-synt_N
0032	pyruvate dehydrogenase complex E1 component subunit beta	PF02779.27-Transket_pyr,PF02780.23-Transketolase_C,PF17147.7-PFOR_II
0033	cysteine synthase	PF00291.28-PALP,PF00107.29-ADH_zinc_N
0034	preprotein translocase subunit SecY	PF00344.23-SecY,PF10011.12-DUF2254
0035	adenylosuccinate synthetase	PF00709.24-Adenylsucc_synt
0036	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	PF00275.23-EPSP_synthase
0037	phosphopyruvate hydratase	PF00113.25-Enolase_C,PF03952.19-Enolase_N,PF07476.14-MAAL_C,PF13378.9-MR_MLE_C
0038	glutamate-1-semialdehyde aminotransferase	PF00202.24-Aminotran_3,PF00155.24-Aminotran_1_2
0039	ATP-dependent Clp protease ATP-binding subunit ClpX	PF00004.32-AAA,PF00005.30-ABC_tran,PF00158.29-Sigma54_activat,PF00437.23-T2SSE,PF00493.26-MCM,PF00910.25-RNA_helicase,PF01078.24-Mg_chelatase,PF01695.20-IstB_IS21,PF02367.20-TsaE,PF05496.15-RuvB_N,PF05729.15-NACHT,PF06689.16-zf-C4_ClpX,PF07724.17-AAA_2,PF07728.17-AAA_5,PF10431.12-ClpB_D2-small,PF12775.10-AAA_7,PF13173.9-AAA_14,PF13191.9-AAA_16,PF13238.9-AAA_18,PF13401.9-AAA_22,PF14532.9-Sigma54_activ_2,PF00270.32-DEAD,PF02562.19-PhoH,PF06068.16-TIP49,PF13479.9-AAA_24,PF13555.9-AAA_29,PF13671.9-AAA_33,PF06745.16-ATPase,PF10662.12-PduV-EutP,PF03266.18-NTPase_1,PF13245.9-AAA_19,PF13481.9-AAA_25,PF02607.20-B12-binding_2
0040	beta-ketoacyl-ACP synthase II	PF00108.26-Thiolase_N,PF00109.29-ketoacyl-synt,PF02801.25-Ketoacyl-synt_C,PF08545.13-ACP_syn_III
0041	serine hydroxymethyltransferase	PF00155.24-Aminotran_1_2,PF00464.22-SHMT,PF01212.24-Beta_elim_lyase,PF01053.23-Cys_Met_Meta_PP,PF01041.20-DegT_DnrJ_EryC1
0042	tyrosine--tRNA ligase	PF00579.28-tRNA-synt_1b,PF01479.28-S4
0043	cysteine desulfurase	PF00155.24-Aminotran_1_2,PF00266.22-Aminotran_5,PF01041.20-DegT_DnrJ_EryC1,PF01053.23-Cys_Met_Meta_PP,PF01212.24-Beta_elim_lyase
0044	methionine adenosyltransferase	PF00438.23-S-AdoMet_synt_N,PF02772.19-S-AdoMet_synt_M,PF02773.19-S-AdoMet_synt_C
0045	phosphoglycerate kinase	PF00162.22-PGK
0046	elongation factor Tu	PF00009.30-GTP_EFTU,PF01926.26-MMR_HSR1,PF03143.20-GTP_EFTU_D3,PF03144.28-GTP_EFTU_D2,PF02492.22-cobW,PF03193.19-RsgA_GTPase
